,Name,Tweet
67,Hillary Clinton,Thousands of DACA recipients have been unable to renew the legal protections they need to live and work safely beca…
68,Hillary Clinton,"“If the impeachment provision in the Constitution of the United States will not reach the offenses charged here, th…"
69,Hillary Clinton,Congratulations to everyone who helped achieve this! Registering voters and turning them out is how we'll overcome…
70,Hillary Clinton,Someone should inform the president that impeachable offenses committed on national television still count.
71,Hillary Clinton,Because I have a life you can't make up: as a young lawyer I worked on the Watergate impeachment inquiry. One of my…
72,Hillary Clinton,Pay attention to these voter purges—voter suppression tactics from Republican elected officials—and double-check yo…
73,Hillary Clinton,Looking forward to this!
74,Hillary Clinton,"It was such an honor and delight to kick off the tour for ""Gutsy Women"" with one of the gutsiest athletes and advoc…"
75,Hillary Clinton,"Yes, I am famously under-scrutinized."
76,Hillary Clinton,".@ChelseaClinton, I'll work on my penmanship for our next"
77,Hillary Clinton,"Brooklyn, see you tonight!"
78,Hillary Clinton,"""The Book of Gutsy Women"" is out today. It's full of the stories of courageous and resilient women who had faith th…"
79,Hillary Clinton,Please don't miss this interview in which my co-author is extra charming.
80,Hillary Clinton,"If you could use some counterprogramming to nearly everything in the news right now, may I suggest a book about mor…"
81,Hillary Clinton,@KamalaHarris But my emails. (Thank you.)
82,Hillary Clinton,The president is a corrupt human tornado.
83,Hillary Clinton,Exciting news: The one and only @BillieJeanKing will join @ChelseaClinton and me for the first stop on our…
84,Hillary Clinton,"I was so honored to present #HRCAwards to @mbachelet, @RosacrsJc, and Marta Velásquez at @GIWPS yesterday. They a…"
85,Hillary Clinton,"A Mother of the Movement to prevent gun violence, @SybrinaFulton has already helped turn tragedy into action. Now s…"
86,Hillary Clinton,I was honored to close out @NARAL's 50th anniversary celebration last night. The work to defend reproductive rights…
87,Hillary Clinton,"@ashleyn1cole In times like these, you can never have enough text threads with girlfriends..."
88,Hillary Clinton,"Women's rights are human rights, and for 50 years @NARAL has taken on the toughest fights to protect our most funda…"
89,Hillary Clinton,"""I have received information from multiple U.S. Government officials that the President is using the power of his o…"
90,Hillary Clinton,The president of the United States has betrayed our country. That’s not a political statement—it’s a harsh realit…
91,Hillary Clinton,"No matter which issue you care about most—health care, education, climate change, or holding a lawless president to…"
92,Hillary Clinton,Join us at 7:30 ET tonight!
93,Hillary Clinton,"Chelsea and I are so inspired by you all. Thank you for your fierce, passionate work to prevent more families from…"
94,Hillary Clinton,".@WhipClyburn and his wife Emily met in 1960 after being arrested at a civil rights protest. After hours in jail, J…"
95,Hillary Clinton,"New York: Join @ChelseaClinton and me at @KingsBklyn on October 1st for the launch of our new book, #GutsyWomen: Fa…"
96,Hillary Clinton,Where are you striking for climate action today? #FridaysForFuture
97,Hillary Clinton,The president asked a foreign power to help him win an
98,Hillary Clinton,"Democracy can no longer be denied: Congress must make Washington, DC the 51st state. Hundreds of thousands of Was…"
99,Hillary Clinton,"You certainly are one of them. It was our honor to include you, Julia."
100,Hillary Clinton,".@GretaThunberg—one of my favorite gutsy women—will help lead global climate strikes that start tomorrow. ""I want…"
101,Hillary Clinton,"We shouldn't have had to wait until 2019 for this first, but I'm glad we're here. Go, @AudreyGelman, go!"
102,Hillary Clinton,.@GretaThunberg to Congress: “I know you are trying but just not hard enough.” She’s right.
103,Hillary Clinton,A terrible truth: Not everyone who is eligible to vote in America has free and fair access to the ballot box. Hea…
104,Hillary Clinton,"Watch live: Hillary Clinton speaks at the In Defense of Democracy event presented by @ShankerInst, @AFTUnion, and…"
105,Hillary Clinton,We can’t make progress if the will of the people isn’t represented at the voting booth. Join us for today’s In De…
106,Hillary Clinton,.@Schwarzenegger is right: Nearly 60 million Americans live under the rule of a party that didn't win the majority…
107,Hillary Clinton,"From voter suppression to gerrymandering and foreign threats, American democracy is under assault. Tomorrow, I’ll…"
108,Hillary Clinton,Make time for this important conversation between 42 and 43 about how grappling with differences can lead to meanin…
109,Hillary Clinton,"This is a big deal: at a time Americans already have reason to be concerned about access to clean drinking water, t…"
110,Hillary Clinton,Found my emails at the Venice Biennale. Someone alert the House GOP.
111,Hillary Clinton,"Kids shouldn't be learning to duck and cover in school. They should learn that we, the adults responsible for prote…"
112,Hillary Clinton,This is cruel and utterly unnecessary. This girl must be reunited with her family immediately.
113,Hillary Clinton,We'll never forget.
114,Hillary Clinton,"As we celebrate Grandparents Day, I am so pleased to announce “Grandma’s Gardens,” a new picture book Chelsea and I…"
115,Hillary Clinton,"As @caitmosc writes in ""See Jane Win,"" the majority of 2018’s Democratic wave was ""more than 3,500 female candidate…"
116,Hillary Clinton,.@ChelseaClinton and I had a lot of conversations about this:What does it mean to be a gutsy woman?It's about n…
117,Hillary Clinton,"This is an important story about Marjorie, a home health aide in Ohio who does crucial care-taking work for dismal…"
