,Name,Tweet
78,Donald Trump,"Just had a meeting with top representatives from Egypt, Ethiopia, and Sudan to help solve their long running disput…"
79,Donald Trump,Stock Markets (all three) hit another ALL TIME &amp; HISTORIC HIGH yesterday! You are sooo lucky to have me as your Pre…
80,Donald Trump,"Thank you to Kurt Volker, U.S. Envoy to Ukraine, who said in his Congressional Testimony, just released, “You asked…"
81,Donald Trump,"“Based on the things I’ve seen, the Democrats have no case, or a weak case, at best. I don’t think there are, or wi…"
82,Donald Trump,"Based on the Kentucky results, Mitch McConnell @senatemajldr will win BIG in Kentucky next year!"
83,Donald Trump,Great going Tate!
84,Donald Trump,Our big Kentucky Rally on Monday night had a massive impact on all of the races. The increase in Governors race was…
85,Donald Trump,A lot of winning in Kentucky. Check out the numbers.
86,Donald Trump,Congratulations to @tatereeves on winning Governor of the Great State of Mississippi. Our big Rally on Friday night…
87,Donald Trump,"#ElectionNight Won 5 out of 6 elections in Kentucky, including 5 great candidates that I spoke for and introduced…"
88,Donald Trump,"Great going Daniel, proud of you!"
89,Donald Trump,95% Approval Rating in the Republican Party. Thank you!
90,Donald Trump,KENTUCKY! #KYGov Get out today and VOTE for @MattBevin and the entire Republican ticket! MISSISSIPPI! #MSGov…
91,Donald Trump,Thank you so much CLUB 45. You are truly Great Americans. See you in Florida!
92,Donald Trump,KENTUCKY! Get out today and VOTE for @MattBevin and the entire Republican ticket! MISSISSIPPI! Get out tod…
93,Donald Trump,A very good start! Please all work hard to get a final deal.
94,Donald Trump,"So sad to see what is happening in New York where Governor Cuomo &amp; Mayor DeBlasio are letting out 900 Criminals, s…"
95,Donald Trump,FIND YOUR POLLING LOCATION HERE!
96,Donald Trump,"This is the time for Mexico, with the help of the United States, to wage WAR on the drug cartels and wipe them off…"
97,Donald Trump,"....monsters, the United States stands ready, willing &amp; able to get involved and do the job quickly and effectively…"
98,Donald Trump,"A wonderful family and friends from Utah got caught between two vicious drug cartels, who were shooting at each oth…"
99,Donald Trump,"“The Impeachment Hoax has fired up voters in Kentucky, Mississippi and Louisiana.” @foxandfriends"
100,Donald Trump,Fantastic being in the Great State of Kentucky last night. Vote for Matt Bevin NOW! @MattBevin One of Best Governo…
101,Donald Trump,The Do Nothing Dems have gone Radical Left Crazy. The can’t get anything done!
102,Donald Trump,"Virginia, with all of the massive amount of defense and other work I brought to you, and with everything planned, g…"
103,Donald Trump,Vote for Sean Spicer on Dancing with the Stars. He is a great and very loyal guy who is working very hard! #MAGA
104,Donald Trump,"My son, @DonaldJTrumpJr is coming out with a new book, “Triggered: How the Left Thrives on Hate and Wants to Silenc…"
105,Donald Trump,All-Time High for Stock Market and all the Fake News wants to talk about is the Impeachment Hoax!
106,Donald Trump,Read the Transcript!
107,Donald Trump,"Big Rally in Kentucky TONIGHT for a man who has worked really hard &amp; done a GREAT job, Gov @MattBevin. Kentucky is…"
108,Donald Trump,"....I don’t like him using my name to build his consulting company, or whatever. Please advise his clients and Admi…"
109,Donald Trump,"Many people say they know me, claiming to be “best friends” and really close etc., when I don’t know these people a…"
110,Donald Trump,Stock Market hits RECORD HIGH. Spend your money well!
111,Donald Trump,“There is no Whistleblower. There is someone with an agenda against Donald Trump. What he was blowing the whistle o…
112,Donald Trump,95% Approval Rating in the Republican Party. Thank you!
113,Donald Trump,The Whistleblower gave false information &amp; dealt with corrupt politician Schiff. He must be brought forward to test…
114,Donald Trump,What I said on the phone call with the Ukrainian President is “perfectly” stated. There is no reason to call witnes…
115,Donald Trump,"Mark Levin, a great lawyer and scholar, said last night on his @marklevinshow, that all you have to do is read the…"
116,Donald Trump,Great! But how do you know it was a “mistweet?” May be something with deep meaning!
117,Donald Trump,"Louisiana, get out and Vote Early for @EddieRispone as your next Governor. Lower Taxes and car insurance. Will prot…"
118,Donald Trump,"Great Republican Geary Higgins has my complete and total Endorsement for Virginia Senate, 13th District. He is stro…"
119,Donald Trump,"@marklevinshow Mark Levin: “We ought to talk about the substance of this phone call. We have the call, I don’t know…"
120,Donald Trump,Good point!
121,Donald Trump,We won’t Steve!
122,Donald Trump,Don’t miss this show!
123,Donald Trump,False stories are being reported that a few Republican Senators are saying that President Trump may have done a qui…
124,Donald Trump,....should give their own transcripts of the interviews to contrast with Schiff’s manipulated propaganda. House Rep…
125,Donald Trump,"If Shifty Adam Schiff, who is a corrupt politician who fraudulently made up what I said on the “call,” is allowed t…"
126,Donald Trump,
127,Donald Trump,"Virginia has the best Unemployment and Economic numbers in the history of the State. If the Democrats get in, those…"
128,Donald Trump,I hope everyone in the Great State of Virginia will get out and VOTE on Tuesday in all of the local and state elect…
129,Donald Trump,"The Fake News Media is working hard so that information about the Whistleblower’s identity, which may be very bad f…"
130,Donald Trump,"The Democrats are Fixers, and they are working overtime to FIX the Impeachment “Process” in order to hurt the Repub…"
131,Donald Trump,Fake News!
132,Donald Trump,The Angry Majority!
133,Donald Trump,Many people listened to my phone call with the Ukrainian President while it was being made. I never heard any compl…
134,Donald Trump,....and FEDERAL CONTRACTOR SPIES stories. The finest law enforcement on the planet could not have shown a ROADMAP l…
135,Donald Trump,Thank you to @OANN for the absolutely incredible Special Report narrated by @PearsonSharp. Seldom do the American p…
136,Donald Trump,“Morrison testifies he saw nothing wrong with the Trump call.” @OANN
137,Donald Trump,"....Matt has been a GREAT Governor. Kentucky (I Love You!), please be sure to vote for Matt Bevin on TUESDAY. Matt…"
138,Donald Trump,Walking into Madison Square Garden last night with @danawhite for the big @UFC Championship fight was a little bit…
139,Donald Trump,Great fight Champ!
140,Donald Trump,"The Whistleblower got it sooo wrong that HE must come forward. The Fake News Media knows who he is but, being an ar…"
141,Donald Trump,"....putting these massive, and many, fires out. Great firefighters! Also, open up the ridiculously closed water lan…"
142,Donald Trump,"..Every year, as the fire’s rage &amp; California burns, it is the same thing-and then he comes to the Federal Governme…"
143,Donald Trump,"The Governor of California, @GavinNewsom, has done a terrible job of forest management. I told him from the first d…"
144,Donald Trump,
145,Donald Trump,Didn’t he pick the Whistleblower?
146,Donald Trump,A giant Scam!
147,Donald Trump,Schiff will change the transcripts just like he fraudulently made up the phone call. He is a corrupt politician!
148,Donald Trump,The Whistleblower has disappeared. Where is the Whistleblower?
149,Donald Trump,"Big Rally in Kentucky on Monday night for a man who has worked really hard &amp; done a GREAT job, Governor @MattBevin.…"
150,Donald Trump,Louisiana has a chance to have a really great Governor in @EddieRispone. Auto insurance costs and taxes will be com…
151,Donald Trump,"Tate Reeves will be a great Governor of Mississippi, and what an electric Rally last night. Vote for Tate on Tuesda…"
152,Donald Trump,"A great new book by Howie Carr, “What Really Happened, How Donald J. Trump Saved America From Hillary Clinton,” is…"
153,Donald Trump,The Whistleblower must come forward to explain why his account of the phone call with the Ukrainian President was s…
154,Donald Trump,You can’t Impeach someone who hasn’t done anything wrong!
155,Donald Trump,"Oh no, Beto just dropped out of race for President despite him saying he was “born for this.” I don’t think so!"
