,Name,Tweet
65,Alexandria Cortez,"What’s worse: since many of the flash mob already sat on the committees, they *knew* how serious a breach it was to…"
66,Alexandria Cortez,Important to remember that GOP&amp;Dem members have been part of impeachment depositions this whole time.All you need…
67,Alexandria Cortez,"@jahimes Yes, asking for a friend... or 30 😉"
68,Alexandria Cortez,@waltshaub @brian_wooley Twitter separates your DMs into two inboxes - one from people you follow/talk to and one f…
69,Alexandria Cortez,"(That said, your question is more likely to be read if you comment instead because RIP my DMs for real. The things…"
70,Alexandria Cortez,@AsteadWesley It’s me. I sift through it 😭
71,Alexandria Cortez,Many of you have commented with “DM me” - so I am opening my DMs for tonight and tomorrow for question recommendations.
72,Alexandria Cortez,"Hypothetically, if you were, say, a member of Congress sitting on the Financial Services Committee given 5 minutes…"
73,Alexandria Cortez,"It is atrocious that the President would refer to one of the most horrifying, violent practices of white supremacis…"
74,Alexandria Cortez,@JCisnerosTX Looking forward to it! 💕
75,Alexandria Cortez,"If you take time to get to know @JCisnerosTX, you’ll understand how important her voice would be to Congress.Back…"
76,Alexandria Cortez,"Last year, NY-14 elected me as the youngest woman to serve in Congress.Let’s help Jessica Cisneros shatter that r…"
77,Alexandria Cortez,"If ~2 years and 20+ candidates aren’t enough for ya, I don’t know what to tell you."
78,Alexandria Cortez,@MayaRupert Of course! Grateful for what you do.
79,Alexandria Cortez,Julián is a powerful presence in this race. I’m really proud of him &amp; how he consistently uses his platform to upli…
80,Alexandria Cortez,Celia Cruz remains THE greatest salsera of all time. An icon.Know your history! 👑💃🏿
81,Alexandria Cortez,Fun fact: @RepKatiePorter is the bomb &amp; she’s also one of the funniest members of Congress.She’s a champion for w…
82,Alexandria Cortez,A lot of people think that folks like your typical lawyer or doctor are in “the 1%.”That may be bc it’s hard to c…
83,Alexandria Cortez,"@bradlander @TeamWarren @BernieSanders Thanks, @bradlander! We should all be grateful to have such strong, progress…"
84,Alexandria Cortez,@neeratanden @HillaryClinton Hi Neera!I’m deeply thankful for Sec. Clinton’s leadership and role in the establish…
85,Alexandria Cortez,"Today I am endorsing Senator @BernieSanders for president.In the end, we must come together to defeat Donald Trum…"
86,Alexandria Cortez,Hey all!We’re having a big ol’ NYC party tomorrow &amp; everyone’s invited.Thousands of people are RSVP’d. All are…
87,Alexandria Cortez,"“Thank you for asking, bc not many people have asked if I’m ok.”Sudden prominence is a very dehumanizing experien…"
88,Alexandria Cortez,"The President of the United States is using the language of ethnic cleansing.If we allow him to continue, who wou…"
89,Alexandria Cortez,A devastating loss for our country.Chairman Cummings was a giant: a universally respected leader who brought prof…
90,Alexandria Cortez,“This president is caging kids at the border while letting ISIS go free.”@JulianCastro coming with the straight up truth.
91,Alexandria Cortez,Tax the rich.
92,Alexandria Cortez,That part ⬇️
93,Alexandria Cortez,Thank you! There are too many plans out there that seem more interested in protecting corporate profits than protec…
94,Alexandria Cortez,@rgunns Happy birthday! 🎉🎈🎂
95,Alexandria Cortez,"Both rationality &amp; emotion are inextricable to good leadership, which balances the two.If a person doesn’t feel u…"
96,Alexandria Cortez,"It is time we trash the idea that empathy = leadership weakness.When people hurt, we should hurt too. That’s what…"
97,Alexandria Cortez,"You know, maybe one of the actual problems w/ our politics is that too many politicians don’t feel anything when Am…"
98,Alexandria Cortez,"Trump: sexually assaults women, impulsively allows Kurds to be murdered, boosts videos of shooting journalistsGOP…"
99,Alexandria Cortez,"Small-dollar grassroots campaigns, aka what Buttegieg insults here as “pocket change,” out-fundraise him by million…"
100,Alexandria Cortez,@BernieSanders ¡Gracias Tío Bernie!
101,Alexandria Cortez,@IlhanMN 💜💜 thank you!
102,Alexandria Cortez,@AyannaPressley 💜💜
103,Alexandria Cortez,"Thank you everyone for the birthday wishes!🎈Spending the day in Denmark after C40, enjoying this social democracy…"
104,Alexandria Cortez,This is how the powerful and the predatory are protected: by their friends and allies commanding powerful organizat…
105,Alexandria Cortez,For working people.For the poor.For jobs.For justice.For peace.For prosperity.For economic mobility.For soci…
106,Alexandria Cortez,😉
107,Alexandria Cortez,"(The truth is, the GOP loves spending the public’s money - but only when it’s to benefit themselves, the very wealt…"
108,Alexandria Cortez,The real tea is that Jeff Sessions gets publicly subsidized haircuts to look as self-made as possible before tellin…
109,Alexandria Cortez,👀
110,Alexandria Cortez,"@Anne_Hidalgo @c40cities @PKlugman Le plaisir est pour moi, Maire @Anne_Hidalgo!"
111,Alexandria Cortez,Won’t you look at that: Mike Pence used *taxpayer funds* - not personal ones - to spend several thousand haircuts’…
112,Alexandria Cortez,"40 million Americans live in poverty under today’s extreme inequality, yet the right-wing want you to blame Democra…"
113,Alexandria Cortez,Wishing all our neighbors and loved ones observing #YomKippur an easy and meaningful fast. G'mar Chatimah Tovah.
114,Alexandria Cortez,"Autocrats: “Jump!”Trump: “How high?”- Trump admin foreign policy, 2019"
115,Alexandria Cortez,"Trump decision isn’t about drawing down US military involvement at all. Remember that earlier this year, Trump VE…"
116,Alexandria Cortez,Federal govs are failing to act on the climate crisis.We can’t wait for others to lead.That’s why I’m in Copenh…
117,Alexandria Cortez,I was in a conversation*this year* w/ many people in the room &amp;one guy asked if he could rescind a job offer if he…
118,Alexandria Cortez,Trump’s sudden withdrawal from northern Syria &amp; endorsement of Turkey’s actions could have catastrophic consequence…
119,Alexandria Cortez,@indyfromspace @cmclymer Correct 🎃 🍬
120,Alexandria Cortez,"When Republicans say our nation‘s laws are “just a joke,” they mean it.They treat our country as a joke, our comm…"
121,Alexandria Cortez,"Not stingy. Broke.And low wages, poor work standards, high cost of living, &amp; a runaway student loan crisis have e…"
122,Alexandria Cortez,It’s time to look under the hood.
123,Alexandria Cortez,"Lastly, people tend to say “what do you do with all the violent people?” as a defense for incarcerating millions.…"
124,Alexandria Cortez,"Secondly, our prison &amp; jail system is so large bc we use them as de facto mental hospitals, homeless shelters, &amp; de…"
125,Alexandria Cortez,"First of all, many people in jailed or in prison don’t belong there at all. Whether it’s punitive sentencing for…"
126,Alexandria Cortez,I know the term “prison abolition” is breaking some people’s brains. The right is already freaking out.Yet the US…
127,Alexandria Cortez,Yesterday morning I spoke with a woman who was thrown in Rikers as a teenager. Put in solitary confinement for MONT…
128,Alexandria Cortez,"Mass incarceration is our American reality. It is a system whose logic evolved from the same lineage as Jim Crow, A…"
129,Alexandria Cortez,Even billionaires are saying billionaires shouldn’t exist.I wonder if extreme-wealth worshippers will listen to t…
130,Alexandria Cortez,(I love how GOP pundits are already saying “it’s not enough to pay for it!” even though “it” isn’t even defined in…
131,Alexandria Cortez,"Hey everyone, I think I figured out how we’re going to pay for it ⬇️"
132,Alexandria Cortez,"Since the Trump admin is hamstringing the Census, we’re stepping in ourselves.Our organizing must go beyond elect…"
133,Alexandria Cortez,"Just when we caught a glimpse of justice for Botham Jean, much of it feels stolen back with the murder of Joshua Br…"
134,Alexandria Cortez,"If the Trump administration is so confident about their coverup, then why are they hiding?"
135,Alexandria Cortez,"The United States doesn’t even offer guaranteed healthcare for *its own citizens,* yet wants to demand it from peop…"
